BP-NN
Epoch,Run 8,Run 16,Run 22,Run 36,Run 39,Run 40,Run 41,Run 44,Run 45,Run 46,Run 48,Run 49,Run 50,Mean
37,0.0964,0.0901,0.0876,0.1099,0.1129,0.0865,0.1143,0.1087,0.0904,0.0999,0.1096,0.1231,0.0956,0.10192307692307692
38,0.0963,0.0882,0.0864,0.1078,0.1114,0.0862,0.1129,0.1082,0.0902,0.0989,0.1066,0.1161,0.0948,0.10030769230769233
39,0.0956,0.0882,0.0864,0.1063,0.1112,0.086,0.1115,0.1067,0.0899,0.0985,0.1066,0.1161,0.0942,0.09978461538461539
40,0.0948,0.0872,0.0846,0.1053,0.109,0.0846,0.1102,0.1062,0.0879,0.0985,0.1062,0.1135,0.0942,0.09863076923076923
41,0.0948,0.0872,0.0846,0.1053,0.107,0.0846,0.1102,0.1054,0.0863,0.0975,0.104,0.1084,0.0931,0.09756923076923078
42,0.0944,0.0863,0.0844,0.1041,0.1056,0.0846,0.1075,0.1054,0.0853,0.0975,0.104,0.1078,0.0916,0.0968076923076923
43,0.0938,0.0861,0.083,0.1041,0.1056,0.0843,0.1075,0.1038,0.084,0.0974,0.0979,0.1078,0.0916,0.09591538461538461
44,0.0938,0.0856,0.083,0.104,0.1043,0.0835,0.1059,0.1016,0.0819,0.096,0.0979,0.1057,0.0915,0.09497692307692307
45,0.0936,0.0848,0.0818,0.1012,0.1043,0.0835,0.1059,0.1015,0.0808,0.096,0.0979,0.1057,0.0911,0.09446923076923075
46,0.0931,0.0847,0.0816,0.1,0.1028,0.0822,0.1051,0.0995,0.0795,0.0958,0.0951,0.1052,0.0902,0.09344615384615386
47,0.093,0.0835,0.0815,0.099,0.1021,0.0818,0.1049,0.0995,0.0795,0.095,0.0933,0.1045,0.0899,0.09288461538461538
48,0.093,0.0834,0.0815,0.0911,0.1017,0.0806,0.1042,0.0984,0.079,0.095,0.0931,0.1009,0.0893,0.09163076923076921
49,0.093,0.0834,0.0807,0.0911,0.1017,0.0806,0.1016,0.0984,0.0788,0.0947,0.0928,0.0985,0.0893,0.09112307692307692
50,0.0925,0.083,0.0798,0.0901,0.1017,0.0797,0.0992,0.0978,0.0782,0.094,0.0926,0.0979,0.0884,0.09037692307692308

PSO-NN
Epoch,Run 3,Run 5,Run 8,Run 21,Run 26,Run 30,Run 31,Run 35,Run 36,Run 40,Run 42,Run 49,Run 50,Mean
1,0.5518,0.5876,0.6201,0.5263,0.6628,0.6147,0.5075,0.548,0.4718,0.4506,0.541,0.5341,0.5729,0.5530153846153847
2,0.543,0.5123,0.5627,0.3771,0.4747,0.5029,0.4305,0.379,0.3986,0.4351,0.4911,0.4387,0.5095,0.4657846153846154
3,0.3812,0.4072,0.3757,0.2848,0.297,0.373,0.294,0.3339,0.3685,0.2986,0.33,0.349,0.3263,0.3399384615384615
4,0.3205,0.3849,0.284,0.2462,0.297,0.373,0.2315,0.3339,0.2854,0.2944,0.2787,0.2959,0.2881,0.3010384615384616
5,0.2416,0.3071,0.2602,0.2224,0.276,0.373,0.1912,0.3045,0.2654,0.257,0.2585,0.2014,0.2302,0.2606538461538462
6,0.2366,0.3037,0.2175,0.2146,0.2087,0.373,0.1453,0.2451,0.2354,0.2255,0.2449,0.1973,0.2222,0.2361384615384615
7,0.2132,0.2425,0.1871,0.1822,0.2017,0.3505,0.142,0.2392,0.2073,0.1995,0.2265,0.1973,0.2052,0.21493846153846155
8,0.1922,0.2284,0.1722,0.1661,0.1965,0.3283,0.1381,0.2151,0.1993,0.1931,0.2012,0.1872,0.1912,0.20068461538461532
9,0.1827,0.1997,0.1673,0.1661,0.1584,0.3134,0.1222,0.1898,0.1697,0.1809,0.1868,0.1754,0.1749,0.18363846153846153
10,0.1699,0.18,0.1569,0.1374,0.1512,0.2901,0.1179,0.1708,0.1638,0.1699,0.1792,0.1732,0.1591,0.17072307692307692
11,0.1457,0.1661,0.1457,0.1356,0.1461,0.2596,0.1118,0.1527,0.1398,0.1613,0.1677,0.1514,0.1526,0.15662307692307692
12,0.1301,0.1518,0.1397,0.1305,0.1287,0.2031,0.1086,0.1517,0.1387,0.1529,0.1551,0.1443,0.1322,0.14364615384615387
13,0.1299,0.1337,0.119,0.1205,0.1229,0.1923,0.1021,0.1429,0.1262,0.1473,0.148,0.1384,0.1196,0.13406153846153845
14,0.1182,0.1337,0.119,0.1165,0.1186,0.1686,0.095,0.1384,0.1262,0.1419,0.1376,0.1299,0.118,0.1278153846153846
15,0.1142,0.1277,0.1128,0.1087,0.1186,0.167,0.0948,0.1293,0.1262,0.1402,0.1343,0.1259,0.1113,0.12392307692307694
16,0.1048,0.1241,0.1064,0.1087,0.1168,0.1587,0.0911,0.1273,0.1205,0.1364,0.129,0.1196,0.1078,0.11932307692307693
17,0.1045,0.1213,0.1022,0.1076,0.1132,0.1494,0.09,0.1235,0.12,0.1328,0.123,0.1171,0.1061,0.1162076923076923
18,0.1019,0.1196,0.0952,0.1072,0.1122,0.1401,0.0887,0.1215,0.1149,0.1283,0.1214,0.1171,0.1036,0.11320769230769231
19,0.0994,0.1167,0.0943,0.1054,0.1105,0.1321,0.0868,0.1151,0.1149,0.128,0.118,0.1163,0.1009,0.11064615384615385
20,0.0965,0.1154,0.0904,0.1033,0.1064,0.125,0.0864,0.112,0.1149,0.126,0.1123,0.1119,0.0994,0.10768461538461538
21,0.0936,0.1137,0.0872,0.1016,0.1061,0.1199,0.0852,0.1094,0.1132,0.1234,0.11,0.1107,0.0985,0.10557692307692308
22,0.0918,0.1121,0.0854,0.0984,0.1032,0.1163,0.0835,0.107,0.1087,0.1211,0.1045,0.1088,0.0969,0.1029
23,0.0896,0.1099,0.0849,0.0963,0.1019,0.1081,0.0824,0.1049,0.1068,0.1178,0.1038,0.1065,0.0961,0.10069230769230769
24,0.0891,0.1074,0.0833,0.0956,0.1006,0.1058,0.0815,0.1024,0.1051,0.116,0.1,0.105,0.0948,0.09896923076923077
25,0.087,0.1058,0.0791,0.0936,0.0988,0.1042,0.0804,0.1009,0.1044,0.1133,0.0993,0.102,0.0932,0.09707692307692307
26,0.0851,0.1052,0.0773,0.092,0.0984,0.1007,0.0791,0.0994,0.1033,0.111,0.098,0.1004,0.0925,0.09556923076923078
27,0.0844,0.1037,0.076,0.0895,0.0971,0.0994,0.0781,0.0972,0.1017,0.1071,0.0963,0.0993,0.0917,0.09396153846153844
28,0.0817,0.1024,0.0746,0.0884,0.095,0.0961,0.0772,0.0956,0.0996,0.104,0.0958,0.0975,0.0911,0.09223076923076921
